"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name","description"
"ENSMLUG00000000590",24.3306293981132,-1.18710988501311,0.295604144840669,-4.01587699540872,5.92251414272976e-05,0.000360725131803199,"CFAP57","cilia and flagella associated protein 57 [Source:HGNC Symbol;Acc:HGNC:26485]"
"ENSMLUG00000000609",19.3039206358061,-2.0151590894005,0.420755642701502,-4.78938102044686,1.67296556430225e-06,1.57143467246027e-05,"CFB","complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]"
"ENSMLUG00000000625",12.3457996590764,-5.59089091672517,1.08431324017129,-5.15615848778343,2.52067568997187e-07,2.93281055670333e-06,"CYP2R1","cytochrome P450 family 2 subfamily R member 1 [Source:HGNC Symbol;Acc:HGNC:20580]"
"ENSMLUG00000000632",61.8561611380566,-2.11013674042592,0.367839075481175,-5.73657580469291,9.66098201083048e-09,1.60699547594848e-07,"IGDCC4","immunoglobulin superfamily DCC subclass member 4 [Source:HGNC Symbol;Acc:HGNC:13770]"
"ENSMLUG00000000638",11.7073051886472,-1.05531539438557,0.41351004805748,-2.55209129582959,0.0107078456371168,0.0292723483780125,"HEPH","hephaestin [Source:NCBI gene;Acc:102427904]"
"ENSMLUG00000000646",34.2095333912233,-1.77716128535629,0.360135611479047,-4.93470023155343,8.02739552132708e-07,8.14843609433644e-06,"TNFRSF17","TNF receptor superfamily member 17 [Source:HGNC Symbol;Acc:HGNC:11913]"
"ENSMLUG00000000685",196.082851625797,-1.24773503628821,0.223044713158574,-5.59410271877247,2.21765639208384e-08,3.37371713315078e-07,"CCDC152","coiled-coil domain containing 152 [Source:HGNC Symbol;Acc:HGNC:34438]"
"ENSMLUG00000000693",20.0709623293416,-2.0814658952922,0.403765472133103,-5.15513593645282,2.53447001301231e-07,2.9437318229396e-06,"OCIAD2","OCIA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28685]"
"ENSMLUG00000000695",16.6377302631583,-1.92130258056106,0.356818389241135,-5.38453913389162,7.26305012709053e-08,9.79924854015638e-07,"RGCC","regulator of cell cycle [Source:HGNC Symbol;Acc:HGNC:20369]"
"ENSMLUG00000000702",35.034469561148,-1.22289365144033,0.275297534440696,-4.44207992608726,8.90934516126742e-06,6.88669695133385e-05,"SEL1L3","SEL1L family member 3 [Source:HGNC Symbol;Acc:HGNC:29108]"
"ENSMLUG00000000705",1550.49309901077,1.34783875779444,0.11339400865897,11.8863313303266,1.39396114887823e-32,2.65987700936665e-29,"CSF1","colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]"
"ENSMLUG00000000728",2807.25261485878,1.58352967800501,0.227185396306038,6.97020892959094,3.16470641735529e-12,1.14866803306018e-10,"GNL3","G protein nucleolar 3 [Source:HGNC Symbol;Acc:HGNC:29931]"
"ENSMLUG00000000732",14177.9139174531,1.05339454537386,0.168915571901753,6.23621927519242,4.48272639318722e-10,9.99595599896522e-09,"TCP1","t-complex 1 [Source:HGNC Symbol;Acc:HGNC:11655]"
"ENSMLUG00000000743",1693.4317129523,1.09021201215308,0.281268328144284,3.87605678657793,0.000106162917710302,0.000594806246584105,"MRPL18","mitochondrial ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:14477]"
"ENSMLUG00000000747",20.4222863308946,1.23773774254069,0.3429562179385,3.60902551929426,0.000307349377418388,0.00148311619731843,"PNLDC1","PARN like, ribonuclease domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21185]"
"ENSMLUG00000000748",192.499455059214,1.47121303919642,0.261003250006325,5.6367613781084,1.73277952896657e-08,2.73255444727349e-07,"ABTB3","BTB domain containing 11 [Source:HGNC Symbol;Acc:HGNC:23844]"
"ENSMLUG00000000759",4221.74178960419,1.18456905100095,0.230378032491908,5.14184897834197,2.72047762306213e-07,3.1244556845435e-06,"YARS1","tyrosyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12840]"
"ENSMLUG00000000765",24.0994628534365,-1.5421995843331,0.365228939637474,-4.22255581899914,2.41547551899395e-05,0.000165879210833945,"GALNT7","polypeptide N-acetylgalactosaminyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4129]"
"ENSMLUG00000000768",674.650574091057,1.35928817407042,0.386121291870818,3.52036575731024,0.000430952078850883,0.00198422161916968,"NUBP2","nucleotide binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8042]"
"ENSMLUG00000000770",135.067560254743,1.12571946998743,0.31265856695785,3.60047537139512,0.000317635916499579,0.0015228510181927,"",""
"ENSMLUG00000000772",182.030117249144,1.01881366446118,0.258645709297422,3.9390317636765,8.18110997730302e-05,0.000472775646520932,"HPCA","hippocalcin [Source:HGNC Symbol;Acc:HGNC:5144]"
"ENSMLUG00000000775",60.5449476487771,-1.21018553013517,0.26986790298558,-4.4843625964657,7.31322125435368e-06,5.79719265842149e-05,"ZNF567","zinc finger protein 567 [Source:HGNC Symbol;Acc:HGNC:28696]"
"ENSMLUG00000000784",2307.39199680298,1.09956100619168,0.153819375620764,7.14839077817228,8.78010682883404e-13,3.60848882808419e-11,"RSL1D1","ribosomal L1 domain-containing protein 1-like [Source:NCBI gene;Acc:102425239]"
"ENSMLUG00000000791",83.9963694461172,-1.84294999491557,0.207771490742825,-8.87008120472471,7.30925824211849e-19,9.8615921555532e-17,"","meiosis specific with OB-fold [Source:HGNC Symbol;Acc:HGNC:28569]"
"ENSMLUG00000000794",75.757339103423,-1.00522619758221,0.189125533704099,-5.31512682552405,1.06583066187555e-07,1.37548793726296e-06,"FAM229B","family with sequence similarity 229 member B [Source:HGNC Symbol;Acc:HGNC:33858]"
"ENSMLUG00000000798",129.168569728223,-1.30567683687753,0.170364134049375,-7.66403588503618,1.80179515693562e-14,1.06489282792872e-12,"AZIN2","antizyme inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:29957]"
"ENSMLUG00000000801",61.7498085911448,-1.70293044580611,0.326321248147303,-5.21857052053626,1.80309325599149e-07,2.19143918291887e-06,"ERBB3","erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]"
"ENSMLUG00000000802",16.9585093628176,-2.81363080624836,0.529184167271099,-5.31692174533058,1.05537429356019e-07,1.36331087418602e-06,"ENOX1","ecto-NOX disulfide-thiol exchanger 1 [Source:HGNC Symbol;Acc:HGNC:25474]"
"ENSMLUG00000000811",187.703465573148,1.09603097114423,0.224729290426048,4.87711668143634,1.07647764256938e-06,1.06744705804003e-05,"POPDC3","popeye domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17649]"
"ENSMLUG00000000820",16.159114024529,-1.36505482020627,0.543077605177517,-2.51355387736909,0.0119521520073468,0.031998098792986,"ACKR4","atypical chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:1611]"
"ENSMLUG00000000849",111.421262677116,1.87711270958288,0.320053454592144,5.86499749541824,4.49139477197713e-09,8.05255838514073e-08,"AGT","angiotensinogen [Source:HGNC Symbol;Acc:HGNC:333]"
"ENSMLUG00000000860",19.7200793583782,-1.71161117711241,0.380520732274266,-4.49807600989988,6.85711835493552e-06,5.47462820483406e-05,"",""
"ENSMLUG00000000871",13250.3281186488,1.14126881039352,0.188258920527167,6.06222965263855,1.34247340663851e-09,2.75444198041023e-08,"",""
"ENSMLUG00000000878",3942.81087197508,1.37458744369504,0.300148837550409,4.57968604813999,4.65674400381729e-06,3.90080186196122e-05,"HSPE1","heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]"
"ENSMLUG00000000924",841.835904158074,1.18852199632546,0.21059565344464,5.64362073426123,1.66510662911106e-08,2.63829528410872e-07,"GALNT17","polypeptide N-acetylgalactosaminyltransferase 17 [Source:HGNC Symbol;Acc:HGNC:16347]"
"ENSMLUG00000000926",8.26404446675345,-3.74198700639525,0.896363445563463,-4.17463142313105,2.98468879231866e-05,0.000199631888828244,"LHX4","LIM homeobox 4 [Source:HGNC Symbol;Acc:HGNC:21734]"
"ENSMLUG00000000929",246.343423488522,-1.18132975328149,0.178270380335195,-6.62661823607649,3.43464383071066e-11,9.78177774985124e-10,"PRKCD","protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]"
"ENSMLUG00000000933",98.4597513314602,-2.14950530493162,0.365327734472038,-5.88377257488549,4.01018790892633e-09,7.25800540644025e-08,"",""
"ENSMLUG00000000942",156.807496460264,-7.64746035286254,1.19729462444004,-6.38728362823742,1.68858279608822e-10,4.17674081617599e-09,"",""
"ENSMLUG00000000981",40.300853291573,-2.65818973931534,0.410217015216877,-6.47995973036365,9.17471019338499e-11,2.43148023914768e-09,"COL4A4","collagen type IV alpha 4 chain [Source:HGNC Symbol;Acc:HGNC:2206]"
"ENSMLUG00000000988",32.6016654625569,-3.41002135507079,0.608601357172644,-5.60304592633936,2.10617389496674e-08,3.23730318930618e-07,"NELL2","neural EGFL like 2 [Source:HGNC Symbol;Acc:HGNC:7751]"
"ENSMLUG00000001009",16.5358886396533,2.00856705903411,0.596207547783109,3.3689057887687,0.000754672190892993,0.00319093271723891,"INHBE","inhibin subunit beta E [Source:HGNC Symbol;Acc:HGNC:24029]"
"ENSMLUG00000001015",6057.92273123877,3.53330801746478,0.458191386452238,7.71142392008517,1.24421622311615e-14,7.69397967229743e-13,"SERPINE1","serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]"
"ENSMLUG00000001028",114.826518142818,1.17821747015849,0.252676461784985,4.66294906076805,3.11709930220531e-06,2.73375544186187e-05,"PTPN6","protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]"
"ENSMLUG00000001033",777.820227958908,1.65063815030977,0.277563139696108,5.94689248765876,2.73280773909678e-09,5.17027095908153e-08,"TSPAN18","tetraspanin 18 [Source:HGNC Symbol;Acc:HGNC:20660]"
"ENSMLUG00000001038",147.803274168189,-1.40992740334544,0.233483887680869,-6.03864967878451,1.55409229788048e-09,3.1168184418603e-08,"",""
"ENSMLUG00000001048",83.5753649111746,-1.43342588915065,0.260527966228414,-5.50200391114216,3.75498622838018e-08,5.37570750830376e-07,"NOL4L","nucleolar protein 4 like [Source:HGNC Symbol;Acc:HGNC:16106]"
"ENSMLUG00000001051",375.683959487262,-6.51889924370206,0.67348079188637,-9.6794137594379,3.68824769156411e-22,9.95698248530403e-20,"SPESP1","sperm equatorial segment protein 1 [Source:HGNC Symbol;Acc:HGNC:15570]"
"ENSMLUG00000001079",23.9736826451606,-3.09417603384585,0.452760072306825,-6.83403025819158,8.25615986626399e-12,2.78478604378e-10,"KIF5A","kinesin family member 5A [Source:HGNC Symbol;Acc:HGNC:6323]"
"ENSMLUG00000001086",409.2694481367,1.34759806687891,0.148983510066665,9.0452833758307,1.49277474959846e-19,2.24033621689737e-17,"SNAI2","snail family transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:11094]"
"ENSMLUG00000001117",23.9346862191348,1.19237011711834,0.41178951470552,2.89558153993073,0.0037845669347298,0.0123898187615652,"PLAC8L1","PLAC8 like 1 [Source:HGNC Symbol;Acc:HGNC:31746]"
"ENSMLUG00000001120",1043.37046692483,1.05078868684065,0.36130518747841,2.9083133131141,0.00363384067970784,0.0119667677413357,"COL8A1","collagen type VIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2215]"
"ENSMLUG00000001181",330.573828393861,1.66661238558799,0.233540331853191,7.13629364299978,9.58810704563225e-13,3.90452273806433e-11,"PLEKHG4","pleckstrin homology and RhoGEF domain containing G4 [Source:HGNC Symbol;Acc:HGNC:24501]"
"ENSMLUG00000001183",174.019669058605,-1.16475890920517,0.36452609288051,-3.19526895866677,0.00139700585522182,0.00537901620299736,"CAPN5","calpain 5 [Source:HGNC Symbol;Acc:HGNC:1482]"
"ENSMLUG00000001184",623.117573993106,-1.00661176589037,0.416566172117637,-2.41645105451842,0.0156726331782619,0.0399121756648322,"HEG1","heart development protein with EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:29227]"
"ENSMLUG00000001206",1595.57641878262,-1.27101928192808,0.165748739849918,-7.66834959396349,1.7422349754511e-14,1.04354406130495e-12,"LRP5","LDL receptor related protein 5 [Source:HGNC Symbol;Acc:HGNC:6697]"
"ENSMLUG00000001207",23.123997617401,1.70030785273602,0.504256164097941,3.37191287642003,0.000746480581811285,0.00316362283864099,"ASIC2","acid sensing ion channel subunit 2 [Source:HGNC Symbol;Acc:HGNC:99]"
"ENSMLUG00000001222",4.8175854557879,-3.46101499318831,0.86777149036343,-3.988394446721,6.65219896366533e-05,0.000398803507889039,"SH3GL2","SH3 domain containing GRB2 like 2, endophilin A1 [Source:HGNC Symbol;Acc:HGNC:10831]"
"ENSMLUG00000001223",92.0559862893161,-1.02957777369443,0.365996419849998,-2.81308154357466,0.00490692059971613,0.0153817738677325,"UPK3A","uroplakin 3A [Source:HGNC Symbol;Acc:HGNC:12580]"
"ENSMLUG00000001228",119.724553764593,1.08111088922283,0.25858969946124,4.18079641793648,2.9048985946075e-05,0.000195037092119332,"PIGM","phosphatidylinositol glycan anchor biosynthesis class M [Source:HGNC Symbol;Acc:HGNC:18858]"
"ENSMLUG00000001253",65.2257347873833,1.56343217452551,0.341004446776356,4.58478529915145,4.54453169913365e-06,3.81769244687598e-05,"TNN","tenascin N [Source:HGNC Symbol;Acc:HGNC:22942]"
"ENSMLUG00000001265",478.52282314466,1.01428597057472,0.204118478165583,4.96910411879477,6.72629471017293e-07,6.96975755875587e-06,"",""
"ENSMLUG00000001267",115.105404442743,1.04568400897005,0.25386426054548,4.11906743676002,3.80408814743936e-05,0.00024582102266738,"LIG4","DNA ligase 4 [Source:HGNC Symbol;Acc:HGNC:6601]"
"ENSMLUG00000001272",8.35477427108553,-2.00829099076791,0.532787320464053,-3.76940462663171,0.000163637421976314,0.000863232640338715,"MYO15A","myosin XVA [Source:HGNC Symbol;Acc:HGNC:7594]"
"ENSMLUG00000001275",2444.50230815839,1.03773330443846,0.166100561500478,6.24762068872038,4.1675224111838e-10,9.35556249515664e-09,"PEA15","proliferation and apoptosis adaptor protein 15 [Source:HGNC Symbol;Acc:HGNC:8822]"
"ENSMLUG00000001293",10.2702457777961,1.27375876915658,0.404993767214675,3.14513178293283,0.00166012030164562,0.0062286691742693,"GARIN1A","family with sequence similarity 71 member F2 [Source:HGNC Symbol;Acc:HGNC:27998]"
"ENSMLUG00000001300",69.5634112199897,-5.91352303486842,0.667492856929346,-8.85930534458793,8.05145604293518e-19,1.05889439567812e-16,"SPTBN2","spectrin beta, non-erythrocytic 2 [Source:HGNC Symbol;Acc:HGNC:11276]"
"ENSMLUG00000001306",4256.53898477582,1.05181384441544,0.370140722678504,2.84165934729915,0.0044879417637494,0.0142931421407727,"","small nuclear ribonucleoprotein D2 polypeptide [Source:HGNC Symbol;Acc:HGNC:11159]"
"ENSMLUG00000001313",55.6518042835812,-3.59000039428751,0.429394339077319,-8.36061416645989,6.23925865043323e-17,5.82781662893962e-15,"DPYSL5","dihydropyrimidinase like 5 [Source:HGNC Symbol;Acc:HGNC:20637]"
"ENSMLUG00000001319",126.946095571425,-1.3491604889841,0.18108642968266,-7.45036771307714,9.30804314703185e-14,4.84485103710394e-12,"TMEM185A","transmembrane protein 185A [Source:HGNC Symbol;Acc:HGNC:17125]"
"ENSMLUG00000001323",107.985407497168,-2.05222416252597,0.348865248453099,-5.88256976476082,4.0394497874152e-09,7.30107318139443e-08,"DMPK","DM1 protein kinase [Source:HGNC Symbol;Acc:HGNC:2933]"
"ENSMLUG00000001339",12815.3709703498,1.6377933378198,0.224044205387901,7.31013477891203,2.66874563310269e-13,1.21660189151374e-11,"FLNC","filamin C [Source:NCBI gene;Acc:102437988]"
"ENSMLUG00000001346",33.5549141380312,1.67344611660891,0.345180552250816,4.84803128593683,1.24692739240249e-06,1.20952862602179e-05,"RSPH6A","radial spoke head 6 homolog A [Source:HGNC Symbol;Acc:HGNC:14241]"
"ENSMLUG00000001360",2332.7581741818,1.04992073273072,0.320500495610862,3.27587865575562,0.00105333807177491,0.00424033653547243,"EIF2B4","eukaryotic translation initiation factor 2B subunit delta [Source:HGNC Symbol;Acc:HGNC:3260]"
"ENSMLUG00000001377",2387.28951624757,1.16210842277156,0.361953592281979,3.21065586183277,0.00132432428374924,0.00515169669504317,"THOC6","THO complex 6 [Source:HGNC Symbol;Acc:HGNC:28369]"
"ENSMLUG00000001381",7206.57845829631,1.29543966527865,0.342766750115381,3.77936210219512,0.000157230638547561,0.000837372264385872,"",""
"ENSMLUG00000001386",6.0258184226309,-2.56002307746397,0.57586902809722,-4.44549533410882,8.76895842281591e-06,6.78603578525795e-05,"CYSLTR2","cysteinyl leukotriene receptor 2 [Source:HGNC Symbol;Acc:HGNC:18274]"
"ENSMLUG00000001390",1140.32800148997,1.759111401291,0.387155275265102,4.54368444311256,5.52793920808311e-06,4.55220000014588e-05,"HCFC1R1","host cell factor C1 regulator 1 [Source:HGNC Symbol;Acc:HGNC:21198]"
"ENSMLUG00000001396",1454.22679077058,1.83155762773825,0.40059318098337,4.57211384188361,4.82828480730692e-06,4.0231690686961e-05,"TNFRSF12A","TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]"
"ENSMLUG00000001408",126.27635977836,1.25839119704757,0.290983934977298,4.32460712013446,1.52803940698334e-05,0.000110984352142884,"CLDN6","claudin 6 [Source:HGNC Symbol;Acc:HGNC:2048]"
"ENSMLUG00000001428",230.60231311414,1.19757303335671,0.266331627745908,4.49654832019891,6.9065489375934e-06,5.5075089050409e-05,"UBE3D","ubiquitin protein ligase E3D [Source:HGNC Symbol;Acc:HGNC:21381]"
"ENSMLUG00000001431",2862.62357645203,1.11824977069867,0.171932478837477,6.50400539944356,7.82090875343282e-11,2.09766823734141e-09,"UCHL5","ubiquitin C-terminal hydrolase L5 [Source:HGNC Symbol;Acc:HGNC:19678]"
"ENSMLUG00000001463",105.525426063309,-1.46955733477758,0.405854890812043,-3.62089349677973,0.000293587360076493,0.00142081390164555,"",""
"ENSMLUG00000001466",11.2658749769774,-1.01023338451199,0.359885239156998,-2.80709869312333,0.00499899234323733,0.0156410261720827,"EXD1","exonuclease 3'-5' domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28507]"
"ENSMLUG00000001472",172.032632832505,-1.84900718949126,0.424870989409597,-4.35192619778689,1.34946690905292e-05,9.96948534525436e-05,"STK26","serine/threonine kinase 26 [Source:HGNC Symbol;Acc:HGNC:18174]"
"ENSMLUG00000001473",24.0818328017999,-5.0307674644866,0.738603649884721,-6.81118684597861,9.67968122862173e-12,3.1766953850295e-10,"PERP","p53 apoptosis effector related to PMP22 [Source:HGNC Symbol;Acc:HGNC:17637]"
"ENSMLUG00000001476",5.77881584465117,-2.08784075751783,0.560049876776939,-3.7279550341717,0.00019303980918227,0.000994382079154483,"ARFGEF3","ARFGEF family member 3 [Source:HGNC Symbol;Acc:HGNC:21213]"
"ENSMLUG00000001478",81.3528091272428,-1.71829521876219,0.274313679747869,-6.26397932593638,3.75275251017138e-10,8.47418539574439e-09,"SH3D19","SH3 domain containing 19 [Source:HGNC Symbol;Acc:HGNC:30418]"
"ENSMLUG00000001479",2599.88008231191,1.27001387600531,0.33732509203849,3.76495524934265,0.00016657891303761,0.00087736377817167,"",""
"ENSMLUG00000001503",16.6028080637934,-1.06544437337917,0.343272770543748,-3.10378353544178,0.0019106306398253,0.00700721951019947,"",""
"ENSMLUG00000001504",459.586933952854,1.24223932361842,0.269267823957331,4.61339682313941,3.96140953054643e-06,3.3918299422762e-05,"MRM3","mitochondrial rRNA methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:18485]"
"ENSMLUG00000001505",91.2606230948474,-1.22723018265881,0.240763539838984,-5.09724264512621,3.44636467228969e-07,3.83929048605283e-06,"PLCD4","phospholipase C delta 4 [Source:HGNC Symbol;Acc:HGNC:9062]"
"ENSMLUG00000001526",6.88558695386029,-3.03160667192546,0.695505035794285,-4.35885653719715,1.30743782399676e-05,9.70191500840259e-05,"LIN7A","lin-7 homolog A, crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:17787]"
"ENSMLUG00000001528",225.109992616345,3.32145947014327,0.34178754193517,9.71790677722621,2.52927343106324e-22,7.18797983376843e-20,"",""
"ENSMLUG00000001529",242.469932013913,-1.36578174924676,0.327041418080179,-4.1761736396089,2.96453558909922e-05,0.000198528111009628,"WIPI1","WD repeat domain, phosphoinositide interacting 1 [Source:HGNC Symbol;Acc:HGNC:25471]"
